date,nav,scheme_code,daily_return
2024-11-08,107.9884,119551,0.0005994976080323511
2024-11-11,108.0457,119551,0.0005306125472734902
2024-11-12,108.0534,119551,7.126614016095267e-05
2024-11-13,108.0513,119551,-1.9434834998222072e-05
2024-11-14,108.0265,119551,-0.00022952060734116042
2024-11-18,108.1144,119551,0.0008136892336603196
2024-11-19,108.1459,119551,0.0002913580429617646
2024-11-21,108.1547,119551,8.137155453891154e-05
2024-11-22,108.1301,119551,-0.00022745197388562843
2024-11-25,108.2199,119551,0.000830481059390431
2024-11-26,108.234,119551,0.0001302902700890396
2024-11-27,108.2186,119551,-0.00014228430992113683
2024-11-28,108.248,119551,0.00027167233728775386
2024-11-29,108.3481,119551,0.0009247284014484158
2024-12-02,108.547,119551,0.0018357497731846806
2024-12-03,108.5772,119551,0.0002782204943481137
2024-12-04,108.6652,119551,0.0008104832322071154
2024-12-05,108.7127,119551,0.0004371224642296667
2024-12-06,108.6492,119551,-0.0005841083884403631
2024-12-09,108.7124,119551,0.000581688590436169
2024-12-10,108.7512,119551,0.00035690500807628034
2024-12-11,108.7714,119551,0.00018574507683588592
2024-12-12,108.76,119551,-0.00010480696212422647
2024-12-13,108.7654,119551,4.965060684058997e-05
2024-12-16,108.8176,119551,0.00047993203721041766
2024-12-17,102.2788,119551,-0.060089544338415846
2024-12-18,102.3051,119551,0.00025714028713674786
2024-12-19,102.2319,119551,-0.000715506851564629
2024-12-20,102.2299,119551,-1.9563365250885312e-05
2024-12-23,102.2971,119551,0.0006573419322526419
2024-12-24,102.276,119551,-0.0002062619565951218
2024-12-26,102.3057,119551,0.00029039070749736773
2024-12-27,102.3377,119551,0.00031278804602274946
2024-12-30,102.3935,119551,0.0005452536064423086
2024-12-31,102.4261,119551,0.00031837958464153715
2025-01-01,102.4373,119551,0.00010934712929611123
2025-01-02,102.4411,119551,3.709586254241337e-05
2025-01-03,102.4734,119551,0.0003153031351672553
2025-01-06,102.5428,119551,0.0006772489250870262
2025-01-07,102.5942,119551,0.0005012541104787438
2025-01-08,102.5842,119551,-9.747139701854479e-05
2025-01-09,102.5669,119551,-0.00016864195460886133
2025-01-10,102.5788,119551,0.00011602183550429856
2025-01-13,102.479,119551,-0.0009729105819136219
2025-01-14,102.5067,119551,0.00027029928082833443
2025-01-15,102.5547,119551,0.0004682620745766197
2025-01-16,102.6846,119551,0.0012666411193247296
2025-01-17,102.6971,119551,0.0001217319831796626
2025-01-20,102.7722,119551,0.000731276735175479
2025-01-21,102.833,119551,0.0005915996738417029
2025-01-22,102.882,119551,0.00047650073420024697
2025-01-23,102.8828,119551,7.775898602346842e-06
2025-01-24,102.9,119551,0.00016718051997033356
2025-01-27,103.0191,119551,0.0011574344023321803
2025-01-28,103.0551,119551,0.0003494497622285042
2025-01-29,103.0631,119551,7.762837550018276e-05
2025-01-30,103.0995,119551,0.0003531816916044761
2025-01-31,103.1194,119551,0.00019301742491473206
2025-02-03,103.2079,119551,0.0008582284225857606
2025-02-04,103.2096,119551,1.6471607309220815e-05
2025-02-05,103.2887,119551,0.0007664015750474817
2025-02-06,103.3557,119551,0.000648667279189219
2025-02-07,103.2983,119551,-0.0005553636616074664
2025-02-10,103.3119,119551,0.00013165753937860458
